"taxon_id","total","01","02","03","04","05","06","07","08","09","10","11","12"
219773,2,0,0,0,0,0,0,0,1,1,0,0,0
219774,2,0,0,0,0,0,0,1,1,0,0,0,0
219781,13,0,0,0,0,0,0,4,0,3,6,0,0
219783,3,0,0,0,1,0,0,0,1,1,0,0,0
219784,3,0,1,0,0,0,0,1,0,0,1,0,0
221221,5,0,0,2,0,0,0,0,2,1,0,0,0
221224,5,0,0,0,1,1,0,2,0,1,0,0,0
221225,3,0,0,0,0,0,1,2,0,0,0,0,0
221226,23,0,0,3,8,3,0,0,2,3,4,0,0
221227,6,0,0,0,0,0,0,1,0,0,5,0,0
221258,7,0,0,0,2,0,0,1,1,1,0,1,1
221259,10,0,0,2,5,0,0,0,0,2,1,0,0
221964,17,0,0,0,0,0,3,7,6,1,0,0,0
223527,21,3,4,1,1,0,2,1,0,1,3,4,1
224166,10,0,0,0,0,0,2,8,0,0,0,0,0
224167,11,0,0,0,0,0,0,7,4,0,0,0,0
224543,3,0,0,0,2,0,1,0,0,0,0,0,0
224544,16,0,1,6,5,1,0,0,0,0,3,0,0
225163,52,0,1,0,2,7,6,14,12,4,5,0,1
225459,2,0,1,0,0,0,0,1,0,0,0,0,0
225692,5,0,0,0,0,0,3,0,0,0,2,0,0
226070,4,0,0,0,0,1,0,3,0,0,0,0,0
226071,12,0,0,0,0,0,1,8,3,0,0,0,0
226361,26,0,2,2,6,2,4,1,3,4,2,0,0
226902,43,3,3,4,1,0,1,2,4,5,6,10,4
226950,3,0,0,0,2,1,0,0,0,0,0,0,0
226951,7,0,0,0,0,1,2,0,1,0,3,0,0
227114,7,0,0,0,0,0,0,2,5,0,0,0,0
227264,19,0,0,0,0,0,1,14,4,0,0,0,0
228118,8,0,0,0,0,0,7,1,0,0,0,0,0
228154,14,0,0,0,0,1,0,3,10,0,0,0,0
228155,6,0,0,0,1,4,0,0,0,1,0,0,0
228426,13,0,1,0,0,2,2,0,0,2,6,0,0
228491,16,4,3,0,5,0,0,2,1,0,1,0,0
228492,2,0,0,0,0,0,0,1,1,0,0,0,0
228493,3,0,0,0,0,0,2,1,0,0,0,0,0
229679,7,0,0,0,0,0,5,2,0,0,0,0,0
229680,1,0,0,0,0,0,1,0,0,0,0,0,0
229681,53,4,2,1,2,3,1,14,14,5,4,0,3
230441,83,0,0,1,32,42,5,3,0,0,0,0,0
230442,3,0,0,0,0,0,0,1,2,0,0,0,0
230444,5,0,0,0,1,3,0,0,1,0,0,0,0
230445,6,0,0,0,0,0,4,2,0,0,0,0,0
231838,8,2,1,1,3,0,0,0,0,1,0,0,0
232577,16,0,0,0,5,4,0,5,2,0,0,0,0
232578,2,0,0,0,0,0,0,0,1,0,1,0,0
245945,9,0,0,0,2,2,0,2,1,0,0,2,0
245995,12,0,0,1,0,2,2,0,0,0,1,2,4
